joint,rms_newton,rms_physx,p95_newton,p95_physx,bias_newton,bias_physx,diff_mean_N_minus_P,diff_std,diff_max,correlation,wilcoxon_p
joint1,0.01081877532617439,0.00893780643391536,0.01663065774287593,0.012596056398541394,-4.6965372166607455e-07,-0.00013725511974189408,0.00013678546602022835,0.0021384876055875273,0.004659171681851149,0.9999490497968593,0.0
joint2,0.005655151263402965,0.004780047437476212,0.009456523419686513,0.007883045743529871,7.752260565757746e-05,0.0016215531527996063,-0.0015440305471420288,0.0015700580589492299,0.005031585693359375,0.9999736890655915,3.480794378968161e-101
joint3,0.006745195086721251,0.005490630461305213,0.010975342020554923,0.008382560847369613,-0.00011641576886177068,-0.0007540086805820465,0.0006375929117202759,0.0016498307660969957,0.004368305206298828,0.9999697475649467,0.0
joint4,0.010821402347476985,0.008942298973633349,0.01660283933885776,0.012705260348854937,-0.00022104470287376908,-0.00022570329431619002,4.6585914424213115e-06,0.002137804508529368,0.004540967755019665,0.9999491676977507,0.0
joint5,0.011285356296557376,0.009341137152124911,0.01728356892978236,0.013151565815883922,7.506837879191153e-06,2.2718980699664938e-05,-1.5212142820473673e-05,0.002199504826064708,0.004641218110918999,0.9999463930121394,0.0
joint6,0.012687038416665773,0.01053100993610401,0.019218541109977887,0.01482322193949189,2.5768189370867222e-06,2.3513726901001065e-06,2.254462469863938e-07,0.0023862066108413277,0.004942792467772961,0.9999366685218705,0.0
joint_left,0.0015257697223935746,0.0015271776594480394,0.002629826526841704,0.002633654735524785,-0.00031177224311977625,-0.00031228359788656237,5.113547667860985e-07,3.2990129813535925e-05,7.12759792804718e-05,0.9999826741916881,0.01856446298106115
joint_right,0.0015526899488958327,0.0015433582200963549,0.002664097668010499,0.0026561010919649345,0.00031237956229597324,0.0003130255467258394,-6.459844298660755e-07,8.192480248004827e-05,0.00019202008843421936,0.9999750468946069,3.8655142468608704e-10
